ingredient,product_name,indication,report_type,report_date,era
케토롤락트로메타민염,아큐베일점안액0.45%(케토롤락트로메타민염)(1회용),점안용액제,공급부족,2026-01-21,2023-01-01~
메퀴타진,프리마란정(메퀴타진),나정,공급중단,2026-01-15,2023-01-01~
다카르바진,디티아이주(다카르바진)(수출명:DTIC-VHBforinjection100mg),용액용동결건조분말주사제,공급중단,2026-01-15,2023-01-01~
딜라제프염산염수화물,부광코멜리안정50밀리그램(딜라제프염산염수화물),필름코팅정,공급중단,2026-01-15,2023-01-01~
빈블라스틴황산염,벨바스틴주(빈블라스틴황산염),용액용동결건조분말주사제,공급중단,2026-01-15,2023-01-01~
다카르바진,"디티아이주200밀리그람(다카르바진)(수출명:DTIC-VHBforinjection,Duticinforinjection)",용액용동결건조분말주사제,공급중단,2026-01-15,2023-01-01~
데페라시록스,엑스자이드필름코팅정180밀리그램(데페라시록스),필름코팅정,공급부족,2026-01-14,2023-01-01~
옥시코돈염산염,옥시콘틴서방정10밀리그램(옥시코돈염산염),서방성필름코팅정,공급부족,2026-01-13,2023-01-01~
옥시코돈염산염,옥시콘틴서방정20밀리그램(옥시코돈염산염),서방성필름코팅정,공급부족,2026-01-13,2023-01-01~
옥시코돈염산염,옥시콘틴서방정80mg(옥시코돈염산염),서방성필름코팅정,공급부족,2026-01-13,2023-01-01~
덱스케토프로펜트로메타몰,케랄주(덱스케토프로펜트로메타몰),용액주사제,공급중단,2026-01-13,2023-01-01~
옥시코돈염산염,옥시콘틴서방정40밀리그램(옥시코돈염산염),서방성필름코팅정,공급부족,2026-01-13,2023-01-01~
날부핀염산염,하나염산날부핀주10밀리그람,용액주사제,공급중단,2026-01-05,2023-01-01~
니모디핀,세레보날정(니모디핀),필름코팅정,공급중단,2026-01-05,2023-01-01~
알카프타딘,라스타카프트점안액0.25%(알카프타딘),점안용액제,공급부족,2025-12-31,2023-01-01~
"레보도파,엔타카폰,카르비도파수화물",트리도파정50/12.5/200밀리그램,필름코팅정,공급중단,2025-12-24,2023-01-01~
"레보도파,엔타카폰,카르비도파수화물","트리도파정125/31.25/200밀리그램
",필름코팅정,공급중단,2025-12-24,2023-01-01~
"레보도파,엔타카폰,카르비도파수화물",트리도파정75/18.75/200밀리그램,필름코팅정,공급중단,2025-12-24,2023-01-01~
"레보도파,엔타카폰,카르비도파수화물",트리도파정200/50/200밀리그램,필름코팅정,공급중단,2025-12-24,2023-01-01~
"레보도파,엔타카폰,카르비도파수화물",트리도파정150/37.5/200밀리그램,필름코팅정,공급중단,2025-12-24,2023-01-01~
히알루론산나트륨,히아로겔(히알루론산나트륨),치과용겔제,공급중단,2025-12-24,2023-01-01~
"레보도파,엔타카폰,카르비도파수화물",트리도파정100/25/200밀리그램,필름코팅정,공급중단,2025-12-24,2023-01-01~
에녹사파린나트륨,크렉산주(에녹사파린나트륨),용액주사제,공급부족,2025-12-22,2023-01-01~
페그인터페론베타-1a,"플레그리디펜주스타터팩(페그인터페론베타-1a,유전자재조합)",용액주사제,공급중단,2025-12-17,2023-01-01~
암브리센탄,볼리브리스정5밀리그램(암브리센탄),나정,공급부족,2025-12-16,2023-01-01~
"파상풍톡소이드(균주명:Massachusetts주),디프테리아톡소이드(균주명:Mass8주),백일해톡소이드(균주명:Tohama주, 1상),불활화백일해균선모적혈구응집소(균주명:Tohama주, 1상),불활화백일해균69kDa외막단백질(균주명:Tohama주, 1상),불활화폴리오바이러스제1형(바이러스주명:Mahoney주),불활화폴리오바이러스제2형(바이러스주명:MEF-1주),불활화폴리오바이러스제3형(바이러스주명:Saukett주),헤모필루스인플루엔자비형협막다당류와파상풍톡소이드의접합체(균주명:Haemophilus influenzae,S20752주)","인판릭스아이피브이힙주(흡착 디프테리아, 파상풍 톡소이드, 정제 백일해, 개량 불활화 폴리오 및 헤모필루스 인플루엔자 비형·파상풍 톡소이드 접합 혼합백신)",현탁액주사제,공급중단,2025-12-16,2023-01-01~
펜시클로버,펜시비어크림(펜시클로버),피부크림제,공급중단,2025-12-12,2023-01-01~
테모졸로미드,테모람캡슐20밀리그램(테모졸로미드),"경질캡슐제, 산제",공급부족,2025-12-11,2023-01-01~
밤부테롤염산염,밤벡정10mg(밤부테롤염산염),나정,공급중단,2025-12-10,2023-01-01~
"피페로닐부톡시드,피레트린엑스",감마린디액,샴푸,공급중단,2025-12-09,2023-01-01~
히드로코르티손,"하이로손크림(히드로코르티손)(수출명:Hydrocortisone1%CreamMaxStrength,HydrocortisoneCream)",피부크림제,공급중단,2025-12-09,2023-01-01~
집먼지진드기정제추출액,챈러간설하액(집먼지진드기정제추출액) (개시요법),경구용액제,공급중단,2025-12-08,2023-01-01~
집먼지진드기정제추출액,챈러간설하액(집먼지진드기정제추출액) (유지요법),경구용액제,공급중단,2025-12-08,2023-01-01~
폴리네이트칼슘,페르본주사30밀리그람(폴리네이트칼슘),용액주사제,공급부족,2025-12-04,2023-01-01~
"토브라마이신,덱사메타손","토베손점안액(토브라마이신,덱사메타손)",현탁액점안제,공급중단,2025-12-02,2023-01-01~
덱사메타손(미분화),덱사하이정4밀리그램(덱사메타손),나정,공급부족,2025-12-01,2023-01-01~
메살라진,펜타사서방과립1그램(메살라진),서방성과립제,공급부족,2025-11-26,2023-01-01~
"덱사메타손,네오마이신황산염,폴리믹신B황산염",포러스안연고,안연고제,공급중단,2025-11-25,2023-01-01~
아시클로버,헤르페시드안연고(아시클로버),안연고제,공급중단,2025-11-25,2023-01-01~
페그비소만트,소마버트주30밀리그램(페그비소만트),용액용동결건조분말주사제,공급부족,2025-11-20,2023-01-01~
페그비소만트,소마버트주10밀리그램(페그비소만트),용액용동결건조분말주사제,공급부족,2025-11-20,2023-01-01~
페그비소만트,소마버트주15밀리그램(페그비소만트),용액용동결건조분말주사제,공급부족,2025-11-20,2023-01-01~
펜타닐시트르산염,액틱구강정400마이크로그램(펜타닐시트르산염),트로키제,공급부족,2025-11-06,2023-01-01~
펜타닐시트르산염,액틱구강정200마이크로그램(펜타닐시트르산염),트로키제,공급부족,2025-11-06,2023-01-01~
아만타딘황산염,피케이멜즈인퓨전주(아만타딘황산염),수액제,공급중단,2025-10-30,2023-01-01~
리토나비르,노비르정(리토나비르),필름코팅정,공급중단,2025-10-29,2023-01-01~
아스코르브산,대원아스코르브산주사액500mg,용액주사제,공급중단,2025-10-29,2023-01-01~
아스코르브산,대원아스코르브산주사액500mg/1ml,용액주사제,공급중단,2025-10-29,2023-01-01~
덱사메타손,부광덱사메타손정,나정,공급중단,2025-10-27,2023-01-01~
카페시타빈,잘보빈정500밀리그램(카페시타빈),필름코팅정,공급중단,2025-10-23,2023-01-01~
콜리스틴메탄설폰산나트륨,후콜리스티메테이트주(콜리스틴메탄설폰나트륨),용액용분말주사제,공급중단,2025-10-21,2023-01-01~
이오프로마이드,울트라비스트300주프리필드카트리지(이오프로마이드),용액주사제,공급중단,2025-10-21,2023-01-01~
서양칠엽수종자50%에탄올건조엑스(4.5∼5.5→1)·덱스트린혼합물(100:10),베노스타신캡슐(서양칠엽수종자50%에탄올건조엑스(4.5∼5.5→1)·덱스트린혼합물(100:10)),"경질캡슐제, 산제",공급중단,2025-10-20,2023-01-01~
클로스트리디움 보툴리눔 독소 A형 (Hall 균주),"메디톡신주150단위(클로스트리디움보툴리눔독소A형)[수출명:뉴로녹스주 150단위, 시악스주 150단위, 에복시아주 150단위, 아이록신주 150단위, 보타넥스주 150단위, 큐녹스주 150단위, 보툴리프트주 150단위]",용액용동결건조분말주사제,공급중단,2025-10-02,2023-01-01~
클로스트리디움 보툴리눔 독소 A형 (Hall 균주),"메디톡신주 50단위(클로스트리디움보툴리눔독소A형)[수출명:뉴로녹스주 50단위(클로스트리디움보툴리눔독소A형), 시악스주 50단위(클로스트리디움보툴리눔독소A형), 에복시아주 50단위(클로스트리디움보툴리눔독소A형), 아이록신주 50단위(클로스트리디움보툴리눔독소A형), 보타넥스주 50단위(클로스트리디움보툴리눔독소A형), 큐녹스주 50단위(클로스트리디움보툴리눔독소A형), 보툴리프트주 50단위(클로스트리디움보툴리눔독소A형)]",현탁액용동결건조분말주사제,공급중단,2025-10-02,2023-01-01~
메토프롤롤타르타르산염,베타록정(메토프롤롤타르타르산염),나정,공급중단,2025-09-26,2023-01-01~
아트로핀황산염수화물,알콘아트로핀황산염1%점안제(아트로핀황산염수화물),점안용액제,공급중단,2025-09-26,2023-01-01~
니카르디핀염산염,휴온스니카르디핀주(니카르디핀염산염),용액주사제,공급중단,2025-09-24,2023-01-01~
클라드리빈,류스타틴주사액(클라드리빈),용액주사제,공급부족,2025-09-23,2023-01-01~
"함수과산화벤조일,클린다마이신포스페이트",듀악겔5%,피부용겔제,공급부족,2025-09-22,2023-01-01~
코리오고나도트로핀알파(재조합태반성성선자극호르몬),오비드렐펜주(코리오고나도트로핀알파),용액주사제,공급중단,2025-09-19,2023-01-01~
"루트로핀알파(인황체형성호르몬)(유전자재조합),폴리트로핀알파(재조합인간난포자극호르몬)",퍼고베리스펜주300/150IU,용액주사제,공급부족,2025-09-19,2023-01-01~
"루트로핀알파(인황체형성호르몬)(유전자재조합),폴리트로핀알파(재조합인간난포자극호르몬)",퍼고베리스펜주450/225IU,용액주사제,공급부족,2025-09-19,2023-01-01~
옥트레오티드아세트산염,옥트스타틴주(옥트레오티드아세트산염),용액주사제,공급중단,2025-09-18,2023-01-01~
답토마이신,답토주500밀리그램(답토마이신),용액용동결건조분말주사제,공급중단,2025-09-11,2023-01-01~
답토마이신,답토주350밀리그램(답토마이신),용액용동결건조분말주사제,공급중단,2025-09-11,2023-01-01~
엘-아스파라기나제,에르위나제주(엘-아스파라기나제),용액용동결건조분말주사제,공급중단,2025-09-11,2023-01-01~
메틸프레드니솔론숙시네이트나트륨,살론주500밀리그램(메틸프레드니솔론숙시네이트나트륨),용액용동결건조분말주사제,공급중단,2025-09-10,2023-01-01~
