rank,물품코드,물품명,usage_qty,unit_price,value_share,cumulative_share,abc_class,ved_class
61,USE0000300,  삐콤,895853.0,,0.002425258795334722,0.4021240584840883,A,
62,W689000580,코자뉴정50mg(로사르탄칼륨)_(50mg/1정)((주)시어스제약)-1정,888534.2,0.0,0.002405445294602687,0.40452950377869096,A,
63,W649001100,디에스반정80밀리그램(발사르탄)(풍림무약(주))-1정,883554.0,0.0,0.0023919628662885262,0.40692146664497947,A,
64,WA82800691,노바스핀정5mg(성원애드콕제약)-1정,872902.0,0.0,0.002363125705852712,0.4092845923508322,A,
65,W674401210,에이디핀정(암로디핀베실산염)_(6.944mg/1정)(아이큐어(주))-1정,862101.0,0.0,0.00233388517169319,0.4116184775225254,A,
66,WA11801001,아세르정(삼남제약)-1정,847086.0,0.0,0.0022932364706094734,0.41391171399313487,A,
67,W679601170,로사칼정50밀리그램(로사르탄칼륨)_(50mg/1정)((주)서흥)-1정,844442.0,0.0,0.002286078617418308,0.4161977926105532,A,
68,WA03653141,토바스틴정(셀트리온제약)-1정,818514.5,0.0,0.002215887528683838,0.418413680139237,A,
69,W625500150,셀로디핀정(암로디핀베실산염)(셀티스팜(주))-1정,775112.5,0.0,0.0020983893652182723,0.4205120695044553,A,
70,WMD0316900,베스타제정(무당)(동아제약)-1정(보훈급여),771771.5,0.0,0.0020893445893061377,0.42260141409376145,A,
71,W658502060,마게이트정(알마게이트)_(0.5g/1정)(익수제약(주))-1정,739699.0,0.0,0.0020025177184764672,0.42460393181223793,A,
72,WA05000651,셉트린정(삼일제약)-1정,739124.3,0.0,0.0020009618870736826,0.4266048936993116,A,
73,WA10001261,뉴본정50단위(메디카코리아)-1정,738076.0,0.0,0.0019981239228148706,0.4286030176221265,A,
74,WA09500431,보나링에이정(일양약품)-1정,734096.15,0.0,0.0019873496482222613,0.4305903672703488,A,
75,USE0000297,삐콤,732224.0,0.0,0.0019822813521360888,0.43257264862248485,A,
76,WW20280121,아스피린프로텍트정100mg(바이엘코리아)-1정,727033.5,0.0,0.001968229598358198,0.43454087822084303,A,
