standard_item_key,item_names,materials,material_count,rows
NAME::ITEM_a10ee1fe02db108f3e66,대한생리식염주사액(염화나트륨) 20밀리리터(대한약품공업(주))-20mL/앰플(PP) | 대한생리식염주사액(염화나트륨)_(0.18g/20mL/앰플(PP))(대한약품공업(주))-20mL/앰플(PP) | 생리식염주사액20mL(대한약품)-20mL/앰플(PP),GLUCOSE_CORNSTARCH | SODIUM_CHLORIDE,2,588
NAME::ITEM_1016ebbe56a5d27d10aa,(유한양행)소론도정5mg | 245/소론도정/프레드니솔론5mg/유한양행 | 소론도정(프레드니솔론)_(5mg/1정)((주)유한양행)-1정,PARAFFIN_PETROLEUM | PREDNISOLONE,2,584
NAME::ITEM_d7800c74d721de4165dd,(유한양행)소론도정5mg | 245/소론도정/프레드니솔론5mg/유한양행 | 소론도정(프레드니솔론)_(5mg/1정)((주)유한양행)-1정,PARAFFIN_PETROLEUM | PREDNISOLONE,2,584
NAME::ITEM_faff03c04df758267da3,(유한양행)소론도정5mg | 245/소론도정/프레드니솔론5mg/유한양행 | 소론도정(프레드니솔론)_(5mg/1정)((주)유한양행)-1정,PARAFFIN_PETROLEUM | PREDNISOLONE,2,584
NAME::ITEM_c3e38742828a72389f36,이부펜정400mg(이부프로펜)(제이에스제약(주))-1정 | 이부펜정400mg(이부프로펜)_(0.4g/1정)(제이에스제약(주))-1정,ALUMINUM | IBUPROFEN | POLYPROPYLENE_PP,3,576
NAME::ITEM_9a8d20f961d3bf151cae,이부펜정400mg(이부프로펜)(제이에스제약(주))-1정 | 이부펜정400mg(이부프로펜)_(0.4g/1정)(제이에스제약(주))-1정,ALUMINUM | IBUPROFEN | POLYPROPYLENE_PP,3,576
NAME::ITEM_017a9dc8b6012034236c,마데카솔케어연고(6g)(동국제약(주)) | 마데카솔케어연고(6g)(동국제약(주))-6g/개,CENTELLA_EXTRACT | PARAFFIN_PETROLEUM,2,554
NAME::ITEM_c85760df75a56750b71a,훼스탈플러스정 | 훼스탈플러스정(1정)((주)한독)-1정 | 훼스탈플러스정(한독),MICROBIAL_FUNGAL_ENZYME | PANCREATIN_ANIMAL_ENZYME,2,546
NAME::ITEM_4638326b44c7f4dccc3d,게루삼정(1정)(삼남제약(주))-1정 | 게루삼정(삼남제약) | 게루삼정(삼남제약)-1정,ALUMINUM_HYDROXIDE_MINERAL | MAGNESIUM_HYDROXIDE_MINERAL,2,528
NAME::ITEM_1cd12bb2c5b86ddb17fb,포타겔현탁액(대원제약(주))-20mL/포 | 포타겔현탁액(디옥타헤드랄스멕타이트)_(3g/20mL)(대원제약(주))-20mL/포,ALUMINUM | DIOCTAHEDRAL_SMECTITE | PHARMA_API_GENERIC | POLYPROPYLENE_PP,4,526
NAME::ITEM_bbde46c7143d9c01a8ac,포타겔현탁액(대원제약(주))-20mL/포 | 포타겔현탁액(디옥타헤드랄스멕타이트)_(3g/20mL)(대원제약(주))-20mL/포,ALUMINUM | DIOCTAHEDRAL_SMECTITE | PHARMA_API_GENERIC | POLYPROPYLENE_PP,4,526
NAME::ITEM_cd1e746dde2bd24a7243,베스타제당의정 | 베스타제당의정(동아제약) - 1정,MICROBIAL_FUNGAL_ENZYME | PANCREATIN_ANIMAL_ENZYME,2,514
NAME::ITEM_d104eb246b510867c1eb,마데카솔케어연고(10g)(동국제약(주))-10g/개 | 마데카솔케어연고(6g)(동국제약(주))-6g/개 | 마데카솔케어연고10g,CENTELLA_EXTRACT | PARAFFIN_PETROLEUM,2,512
NAME::ITEM_1d2dc8f637c3bd6be1e7,마데카솔케어연고(10g)(동국제약(주))-10g/개 | 마데카솔케어연고(6g)(동국제약(주))-6g/개 | 마데카솔케어연고10g,CENTELLA_EXTRACT | PARAFFIN_PETROLEUM,2,512
NAME::ITEM_c4cecf65b1cadd2d693a,(AI)인플루엔자 0.5ml | 국가: 어르신 | 독감무료(14-64세 보령시민 지자체),BIOLOGICS_CELL_CULTURE | LIPID_NANOPARTICLE | MATERIAL_UNSPECIFIED,3,512
NAME::ITEM_dfc3f348ff004c26caa3,한미유리아크림200mg | 한미유리아크림200밀리그램(우레아)_(10g/50g)(한미약품(주))-50g/개,PARAFFIN_PETROLEUM | UREA,2,508
NAME::ITEM_b39ebbabc19bf504a16b,한미유리아크림200mg | 한미유리아크림200밀리그램(우레아)_(10g/50g)(한미약품(주))-50g/개,PARAFFIN_PETROLEUM | UREA,2,508
NAME::ITEM_512f05d2920435a86cbc,박테로신연고(무피로신)(수출명: KM MUPIROCIN Oint)_(0.3g/15g)(주식회사제뉴원사이언스)-15g/개 | 박테로신연고(무피로신)(수출명: KM MUPIROCIN Oint)_(0.3g/15g)(한국콜마(주))-15g/개,MUPIROCIN | PARAFFIN_PETROLEUM,2,498
NAME::ITEM_c540e45e3b8d8101dc8d,박테로신연고(무피로신)(수출명: KM MUPIROCIN Oint)_(0.3g/15g)(주식회사제뉴원사이언스)-15g/개 | 박테로신연고(무피로신)(수출명: KM MUPIROCIN Oint)_(0.3g/15g)(한국콜마(주))-15g/개,MUPIROCIN | PARAFFIN_PETROLEUM,2,498
NAME::ITEM_924071e7198a3fc3e3bc,로마졸크림(클로트리마졸))(수출명:Coraliteclotrimazoleantifungalcream1%)_(0.15g/15g)((주)씨엠지제약)-15g/개 | 로마졸크림(클로트리마졸)_(0.15g/15g)((주)씨엠지제약)-15g/개,CLOTRIMAZOLE | PARAFFIN_PETROLEUM,2,494
NAME::ITEM_fadd99208b297fad020d,로마졸크림(클로트리마졸))(수출명:Coraliteclotrimazoleantifungalcream1%)_(0.15g/15g)((주)씨엠지제약)-15g/개 | 로마졸크림(클로트리마졸)_(0.15g/15g)((주)씨엠지제약)-15g/개,CLOTRIMAZOLE | PARAFFIN_PETROLEUM,2,494
NAME::ITEM_e223433ae7f33d6bfa97,에이스린장용정(아스피린)((주)한국파비스제약)-1정,ALUMINUM | ASPIRIN | POLYPROPYLENE_PP,3,480
NAME::ITEM_1f6f6c5938e634820646,게루삼정(1정)(삼남제약(주))-1정 | 게루삼정(삼남제약) | 게루삼정(삼남제약)-1정,ALUMINUM_HYDROXIDE_MINERAL | MAGNESIUM_HYDROXIDE_MINERAL,2,476
NAME::ITEM_29aaa71b771a8e1a1ecc,게루삼정(1정)(삼남제약(주))-1정 | 게루삼정(삼남제약) | 게루삼정(삼남제약)-1정,ALUMINUM_HYDROXIDE_MINERAL | MAGNESIUM_HYDROXIDE_MINERAL,2,476
NAME::ITEM_5a7bc6141fa6b9db0e9d,디나트륨인산덱사메타손주사액(유한양행)-1mL/앰플 | 유한디나트륨인산덱사메타손주사액 1mL | 유한디나트륨인산덱사메타손주사액(수출명:덱사컴유한덱사컴)((주)유한양행)-1mL/앰플,DEXAMETHASONE | PARAFFIN_PETROLEUM,2,460
NAME::ITEM_9a1b36893a77453ab1eb,디나트륨인산덱사메타손주사액(유한양행)-1mL/앰플 | 유한디나트륨인산덱사메타손주사액 1mL | 유한디나트륨인산덱사메타손주사액(수출명:덱사컴유한덱사컴)((주)유한양행)-1mL/앰플,DEXAMETHASONE | PARAFFIN_PETROLEUM,2,460
NAME::ITEM_ac03b27ae62262ca676e,디나트륨인산덱사메타손주사액(유한양행)-1mL/앰플 | 유한디나트륨인산덱사메타손주사액 1mL | 유한디나트륨인산덱사메타손주사액(수출명:덱사컴유한덱사컴)((주)유한양행)-1mL/앰플,DEXAMETHASONE | PARAFFIN_PETROLEUM,2,460
NAME::ITEM_c0080ad1660b9a6b96fd,훼스탈플러스정 | 훼스탈플러스정(1정)((주)한독)-1정 | 훼스탈플러스정(한독),MICROBIAL_FUNGAL_ENZYME | PANCREATIN_ANIMAL_ENZYME,2,446
NAME::ITEM_183b109219ddcdfc8db8,훼스탈플러스정 | 훼스탈플러스정(1정)((주)한독)-1정 | 훼스탈플러스정(한독),MICROBIAL_FUNGAL_ENZYME | PANCREATIN_ANIMAL_ENZYME,2,446
NAME::ITEM_3e6d3c85dd0ee593ce59,베아제정(대웅제약)-1정(보훈급여),MICROBIAL_FUNGAL_ENZYME | PANCREATIN_ANIMAL_ENZYME,2,436
NAME::ITEM_468b1f328ef4a2c95201,베아제정(대웅제약)-1정(보훈급여),MICROBIAL_FUNGAL_ENZYME | PANCREATIN_ANIMAL_ENZYME,2,436
NAME::ITEM_403aae5c7dc5f2621fc8,반질올크림((주)삼공씨앤피) | 반질올크림(삼공씨앤피)-60g/개,PARAFFIN_PETROLEUM | UREA_TOPICAL,2,424
NAME::ITEM_f77dd6e4026bb582a639,반질올크림((주)삼공씨앤피) | 반질올크림(삼공씨앤피)-60g/개,PARAFFIN_PETROLEUM | UREA_TOPICAL,2,424
NAME::ITEM_54aceee191fec9f13711,겟투겔(케토프로펜)_(1.5g/50g)(한국넬슨제약(주))-50g/개,ALUMINUM | KETOPROFEN | POLYPROPYLENE_PP,3,399
NAME::ITEM_d4a67efa400457e42c30,(군)대상포진 | (도)대상포진 스카이조스터 | (도)스카이조스터주 0.5mL(65세이상)무료,MATERIAL_UNSPECIFIED | PHARMA_API_GENERIC | ZOSTER_VACCINE,3,399
NAME::ITEM_f1819b796cded4e3cc62,"라벤다크림_(15g)((주)에이프로젠바이오로직스)-15g/개 | 라벤다크림_(15g)(에이프로젠제약(주))-15g/개 | 라벤다크림_(9.6mg,0.15g,15mg/15g)(슈넬생명과학(주))-15g/개",BETAMETHASONE_CLOTRIMAZOLE_GENTAMICIN | PARAFFIN_PETROLEUM,2,398
NAME::ITEM_8f685f98fb39a894af72,마데카솔분말(센텔라정량추출물)(02g/10g)(동국제약(주))-10g/통,CENTELLA_ASIATICA_EXTRACT | PARAFFIN_PETROLEUM,2,398
NAME::ITEM_5c4bab7541778f49cbcb,"라벤다크림_(15g)((주)에이프로젠바이오로직스)-15g/개 | 라벤다크림_(15g)(에이프로젠제약(주))-15g/개 | 라벤다크림_(9.6mg,0.15g,15mg/15g)(슈넬생명과학(주))-15g/개",BETAMETHASONE_CLOTRIMAZOLE_GENTAMICIN | PARAFFIN_PETROLEUM,2,398
NAME::ITEM_645fe5d824da4b66ca13,"라벤다크림_(15g)((주)에이프로젠바이오로직스)-15g/개 | 라벤다크림_(15g)(에이프로젠제약(주))-15g/개 | 라벤다크림_(9.6mg,0.15g,15mg/15g)(슈넬생명과학(주))-15g/개",BETAMETHASONE_CLOTRIMAZOLE_GENTAMICIN | PARAFFIN_PETROLEUM,2,398
NAME::ITEM_f639ab63e41bc84ef7d7,실마진1%크림(동화약품)-20g/개 | 실마진1%크림(설파디아진은)_(0.2g/20g) | 실마진1%크림(설파디아진은)_(0.2g/20g)(동화약품(주))-20g/개,PARAFFIN_PETROLEUM | SILVER_SULFADIAZINE,2,388
