rprsntDtilPrdctClsfcNo,rprsntDtilPrdctClsfcNoNm,n,mean,p25,median,p75,p90
9946171603,융복합비상벨,6,60.0,60.0,60.0,60.0,60.0
2510169801,전기화물트럭,6,210.0,210.0,210.0,210.0,210.0
2713160501,에어커튼,6,57.5,30.0,30.5,72.25,112.0
2410168901,주차주제어장치,6,167.2,90.0,90.0,268.5,338.0
3912149901,플러그용잭,6,60.0,60.0,60.0,60.0,60.0
4810209701,배식대,6,40.0,40.0,40.0,40.0,40.0
4014218501,비압력용경질폴리염화비닐관,6,191.3,103.5,229.5,285.75,308.5
3013159201,안전유도블록,6,46.0,27.0,35.0,49.0,86.0
4321170201,마그네틱카드판독기,6,30.0,30.0,30.0,30.0,30.0
5216152001,마이크로폰,6,59.0,60.0,60.0,60.75,61.0
4511170601,오디오믹서,6,80.2,60.0,60.0,85.5,120.5
4920160502,체스트프레스머신,5,60.2,60.0,60.0,60.0,60.6
4810151701,상업용오븐,5,60.0,60.0,60.0,60.0,60.0
4810151101,부침기,5,65.6,40.0,41.0,60.0,112.20000000000002
4713182301,고상제설제,5,40.2,40.0,40.0,40.0,40.6
1016160101,장미,5,30.0,30.0,30.0,30.0,30.0
7818029901,차량도장서비스,5,210.0,210.0,210.0,210.0,210.0
5612170301,유아용교구장,5,30.0,30.0,30.0,30.0,30.0
5612150801,컴퓨터책상,5,30.0,30.0,30.0,30.0,30.0
2110230201,화분,5,20.4,20.0,20.0,21.0,21.0
2410168904,차량감지기,5,195.2,90.0,90.0,348.0,354.0
5612200401,실험실용싱크대,5,28.0,30.0,30.0,30.0,30.0
6010279901,교육용놀이세트,5,19.6,20.0,20.0,20.0,20.0
4321210401,잉크젯프린터,5,30.2,30.0,30.0,30.0,30.6
3016160204,금속천장재,5,71.4,30.0,61.0,68.0,128.0
4015156601,부스터펌프,5,267.0,253.0,291.0,319.0,342.4
4711150204,소방용방화복세탁기,5,60.4,60.0,60.0,60.0,62.4
3023150101,수납식관람석,5,187.2,120.0,209.0,211.0,287.8
4618180201,보안경,5,30.0,30.0,30.0,30.0,30.0
3012170206,보행매트,5,114.6,30.0,31.0,241.0,241.0
4321150102,컴퓨터서버,5,52.0,30.0,30.0,30.0,96.00000000000001
3011159201,순환아스팔트콘크리트,5,25.6,20.0,20.0,29.0,35.6
3012189701,인조잔디,5,205.0,167.0,196.0,258.0,310.2
2611170403,전기자동차용충전장치,5,238.4,225.0,226.0,319.0,320.8
2411240402,금속상자,5,116.4,60.0,60.0,125.0,216.20000000000002
4323290201,통신소프트웨어,5,30.0,30.0,30.0,30.0,30.0
4323349901,유틸리티소프트웨어,5,30.0,30.0,30.0,30.0,30.0
2611160702,건물일체형태양광발전장치,5,157.8,102.0,163.0,168.0,245.4
7215129601,냉난방공조및분배설비유지보수,5,60.0,60.0,60.0,60.0,60.0
6010620801,심폐소생술훈련마네킹,4,30.0,30.0,30.0,30.0,30.0
4322178801,분배기,4,30.0,30.0,30.0,30.0,30.0
4511176501,스피커선택유닛,4,91.2,60.0,79.0,110.25,132.3
4511190201,영상회의시스템,4,100.8,28.0,30.0,102.75,233.70000000000005
4214210501,개인용온열기,4,30.2,30.0,30.0,30.25,30.7
3016190801,논슬립,4,30.2,30.0,30.0,30.25,30.7
5612100201,카운터,4,30.0,30.0,30.0,30.0,30.0
1016169901,기타화초,4,30.0,30.0,30.0,30.0,30.0
2510151401,수소다목적승용차,4,207.2,207.25,210.0,210.0,210.0
2411240102,도구보관캐비닛,4,30.0,30.0,30.0,30.0,30.0
3010369901,합성목재,4,93.8,60.0,60.0,93.75,154.50000000000003
5610171901,보조책상,4,60.8,30.75,36.5,66.5,110.60000000000002
5216151701,이퀄라이저,4,88.0,49.75,60.0,98.25,167.10000000000002
3013160301,콘크리트벽돌,4,236.0,168.5,238.0,305.5,322.6
5512179601,국기,4,30.0,30.0,30.0,30.0,30.0
3010170401,H빔,4,83.8,83.75,90.0,90.0,90.0
3012999801,미끄럼방지포장재,4,42.0,30.0,30.0,42.0,63.60000000000001
3012999901,체육시설탄성포장재,4,263.5,229.5,257.0,291.0,323.40000000000003
3016159802,흡음용장식재,4,186.2,100.5,190.0,275.75,311.3
5215220201,식기건조대,4,84.2,39.75,40.0,84.5,164.60000000000002
4920160501,벤치프레스,4,57.2,57.25,60.0,60.0,60.0
4010171401,흡수식냉온수기,4,60.2,60.0,60.0,60.25,60.7
