standard_item_key,item_name,raw_material_meta_code,raw_material_risk_meta_code,demand_risk_meta_code,mapping_weight,exposure_score,source_rows,review_status,mapping_version
NAME::ITEM_f824953fc99e4393704b,비토브라점안액(토브라마이신)(수출명:비토라레점안액)_(18mg/6mL)(화일약품(주))-6mL/병,TOBRAMYCIN,API_IMPORT_DEPENDENCY_CN_IN,INFECTIOUS_DISEASE_OUTBREAK,0.35,0.35,310,pending,material-standard-axis-v1-pending-review
NAME::ITEM_f828968eef0d65adb069,헤모나민정(1정)((주)마더스제약)-1정,IRON_MINERAL_COMPOUND,CHINA_VITAMIN_RAWMATERIAL_CONCENTRATION,SEASONAL_CLIMATE_PATTERN;GOV_POLICY_PROGRAM_EXPANSION,0.5,0.5,13,pending,material-standard-axis-v1-pending-review
NAME::ITEM_f8293b591d8132c7861f,뮤로다제정(스트렙토키나제·스트렙토도르나제)(삼남제약(주))-1정,STREPTOKINASE_STREPTODORNASE,API_IMPORT_DEPENDENCY_CN_IN,LOW_PRIORITY_NO_TRIGGER,0.65,0.65,21,pending,material-standard-axis-v1-pending-review
NAME::ITEM_f83d6684fd61911645db,뉴암로디프정5밀리그램(암로디핀베실산염)_(6.944mg/1정)(안국뉴팜(주))-1정,AMLODIPINE,API_IMPORT_DEPENDENCY_CN_IN,CHRONIC_DISEASE_STRUCTURAL_TREND,0.35,0.35,3,pending,material-standard-axis-v1-pending-review
NAME::ITEM_f84516e70de765fa8093,릭시아나정30밀리그램(에독사반토실산염수화물)_(40.41mg/1정)(한국다이이찌산쿄(주))-1정,EDOXABAN,API_IMPORT_DEPENDENCY_CN_IN,LOW_PRIORITY_NO_TRIGGER,0.65,0.65,1,pending,material-standard-axis-v1-pending-review
NAME::ITEM_f84c3a751958e2158113,팜스빌(엽산),FOLIC_ACID,CHINA_VITAMIN_RAWMATERIAL_CONCENTRATION,SEASONAL_CLIMATE_PATTERN;GOV_POLICY_PROGRAM_EXPANSION,0.35,0.35,58,pending,material-standard-axis-v1-pending-review
NAME::ITEM_f87e9a9701cab2345471,"시타플러스서방정50/1000밀리그램(시타글립틴,메트포르민)_(1정)((주)씨엠지제약)-1정",METFORMIN,API_IMPORT_DEPENDENCY_CN_IN,CHRONIC_DISEASE_STRUCTURAL_TREND,0.35,0.35,2,pending,material-standard-axis-v1-pending-review
NAME::ITEM_f8911b593686d7b00bdd,"한국유나이티드세프트리악손주1그램(수출명:CEFINforinjection1g,TECIFINforinjection1g,KupcefinforInj.1g)_(세프트리악손나트륨수화물, 1g/1병)(한국유나이티드제약(주",PHARMA_API_GENERIC,API_IMPORT_DEPENDENCY_CN_IN,LOW_PRIORITY_NO_TRIGGER,0.15,0.15,1,pending,material-standard-axis-v1-pending-review
NAME::ITEM_f892f63ebdfb7d07bafb,다파프로정5밀리그램(다파글리플로진포르메이트)_(5.343mg/1정)(동아에스티(주))-1정,DAPAGLIFLOZIN,API_IMPORT_DEPENDENCY_CN_IN,LOW_PRIORITY_NO_TRIGGER,0.65,0.65,18,pending,material-standard-axis-v1-pending-review
NAME::ITEM_f89f094a14533c4785c0,아모렉스정625mg_(1정)((주)씨티씨바이오)-1정,CEFACLOR,API_IMPORT_DEPENDENCY_CN_IN,INFECTIOUS_DISEASE_OUTBREAK,0.35,0.35,3,pending,material-standard-axis-v1-pending-review
NAME::ITEM_f8c2dc66b05357a6fe03,이센트레스정(랄테그라빌칼륨)_(0.4344g/1정)(한국엠에스디(유))-1정,RALTEGRAVIR,API_IMPORT_DEPENDENCY_CN_IN,LOW_PRIORITY_NO_TRIGGER,0.65,0.65,1,pending,material-standard-axis-v1-pending-review
NAME::ITEM_f8d1c8a1f626b109b9f1,네오칸데정8밀리그램(칸데사르탄실렉세틸)_(8mg/1정)((주)녹십자)-1정,CANDESARTAN_CILEXETIL,API_IMPORT_DEPENDENCY_CN_IN,LOW_PRIORITY_NO_TRIGGER,0.65,0.65,1,pending,material-standard-axis-v1-pending-review
NAME::ITEM_f8e318b8d9a82c43ccc6,레보리치정(레보드로프로피진)_(60mg/1정)(풍림무약(주))-1정,LEVODROPROPIZINE,API_IMPORT_DEPENDENCY_CN_IN,INFECTIOUS_DISEASE_OUTBREAK;SEASONAL_CLIMATE_PATTERN,0.35,0.35,69,pending,material-standard-axis-v1-pending-review
NAME::ITEM_f8e82f88a3dca07690c9,라파진씨알서방정(레보드로프로피진)_(90mg/1정)(콜마파마(주))-1정,LEVODROPROPIZINE,API_IMPORT_DEPENDENCY_CN_IN,INFECTIOUS_DISEASE_OUTBREAK;SEASONAL_CLIMATE_PATTERN,0.35,0.35,9,pending,material-standard-axis-v1-pending-review
NAME::ITEM_f8ed94bc535257ece203,레보서린정(레보설피리드)_(25mg/1정)((주)화이트생명과학)-1정,LEVOSULPIRIDE,MINERAL_RAWMATERIAL_GENERIC;API_IMPORT_DEPENDENCY_CN_IN,LIFESTYLE_CALENDAR_EVENT;SEASONAL_CLIMATE_PATTERN,0.35,0.35,2,pending,material-standard-axis-v1-pending-review
NAME::ITEM_f8f292862c95136bc37c,테넬정20밀리그램(테네리글립틴염산염수화물)_(26mg/1정)((주)메디카코리아)-1정,TENELIGLIPTIN,API_IMPORT_DEPENDENCY_CN_IN,LOW_PRIORITY_NO_TRIGGER,0.65,0.65,1,pending,material-standard-axis-v1-pending-review
NAME::ITEM_f8f2e2b9b9a998798c17,판콜에스내복액(30mL)(동화약품(주))-30mL/병,MATERIAL_UNSPECIFIED,UNCLASSIFIED_MATERIAL_RISK,NOT_APPLICABLE,0.05,0.05,6,pending,material-standard-axis-v1-pending-review
NAME::ITEM_f8ff0a1725f96ed6cc46,텔미트렌정80밀리그램(텔미사르탄)((주)종근당)-1정,TELMISARTAN_AMLODIPINE,API_IMPORT_DEPENDENCY_CN_IN,CHRONIC_DISEASE_STRUCTURAL_TREND,0.35,0.35,21,pending,material-standard-axis-v1-pending-review
NAME::ITEM_f9054861a1dd68e3c45f,모아졸정(알벤다졸)(04g/1정)((주)아이월드제약)-1정,ALBENDAZOLE,API_IMPORT_DEPENDENCY_CN_IN,LOW_PRIORITY_NO_TRIGGER,0.65,0.65,2,pending,material-standard-axis-v1-pending-review
NAME::ITEM_f92745a0279d61743654,에프람정20밀리그램(에스시탈로프람옥살산염)_(25.54mg/1정)(환인제약(주))-1정,ESCITALOPRAM,API_IMPORT_DEPENDENCY_CN_IN,LOW_PRIORITY_NO_TRIGGER,0.65,0.65,1,pending,material-standard-axis-v1-pending-review
NAME::ITEM_f92b4569294b769427cf,피아이졸정10밀리그램(라베프라졸나트륨)_(10mg/1정)(알리코제약(주))-1정,RABEPRAZOLE,API_IMPORT_DEPENDENCY_CN_IN,LOW_PRIORITY_NO_TRIGGER,0.65,0.65,6,pending,material-standard-axis-v1-pending-review
