물품코드,물품명,sample_size,raw_median_days,credibility,review_period_days
O661306760,경방생맥산연조엑스(단미엑스혼합제)-30g,7,41.0,0.6859185028929208,60.2
O694203430,정우갈근탕(단미엑스산혼합제)-9.78g,27,165.0,0.8938830384045754,158.3
O694203460,정우궁하탕산(단미엑스혼합제)-4.8g,5,23.0,0.609362685123064,53.9
O694203490,정우삼출건비탕(단미엑스산혼합제)-10.14 g,15,124.0,0.8239361571668503,120.1
O694203540,정우불환금정기산(단미엑스산혼합제)-7.98g,12,87.0,0.7891988132134214,90.2
O694203590,정우청상견통탕(단미엑스산혼합제)-13.98g,11,62.0,0.7743591917034056,71.0
O694203680,정우형개연교탕(단미엑스산)-10.32g,21,98.0,0.8675788022781872,98.5
O694203730,정우평위산(단미엑스산혼합제)-6.54g,16,68.0,0.8331036212313633,73.7
O694203730,정우평위산산(단미엑스혼합제)-6.54g,6,73.5,0.6517988434649009,83.4
O694203740,정우조위승기탕(단미엑스산혼합제)-13.62g,9,168.0,0.7373849397414085,150.7
O694203800,정우반하사심탕(단미엑스산혼합제)-9.57g,18,78.5,0.8488446318075722,82.1
O694203800,정우반하사심탕산(단미엑스혼합제)-9.57g,5,96.0,0.609362685123064,98.3
O694203840,정우가미소요산(단미엑스산혼합제)-8.55g,10,178.0,0.757272044090506,159.6
O694203840,정우가미소요산(단미엑스혼합제)-8.58g,7,98.0,0.6859185028929208,99.3
O694203840,정우가미소요산산(단미엑스혼합제)-8.58g,9,204.0,0.7373849397414085,177.2
O694203850,정우향사평위산(단미엑스산혼합제)-8.67g,52,92.5,0.9419386476841652,93.1
O694203850,정우향사평위산산(단미엑스혼합제)-8.67g,6,180.0,0.6517988434649009,152.8
O694203860,정우반하백출천마탕(단미엑스산혼합제)-10.95g,23,149.0,0.8776852485244809,143.3
O694203910,정우생맥산(단미엑스산혼합제)-4.23g,28,97.5,0.8972836460548829,98.0
O694203910,정우생맥산산(단미엑스혼합제)-4.23g,11,126.0,0.7743591917034056,120.6
O694203940,정우도인승기탕(단미엑스산혼합제)-15.51g,6,239.0,0.6517988434649009,191.3
O694203970,정우연교패독산(단미엑스산혼합제)-9.42g,8,157.5,0.713948244582345,141.6
O694203970,정우연교패독산산(단미엑스혼합제)-8.73g,27,74.0,0.8938830384045754,77.0
O694203980,정우인삼패독산(단미엑스산혼합제)-9.06g,9,197.0,0.7373849397414085,172.1
O694204010,정우이중탕(단미엑스산혼합제)-7.23g,12,92.5,0.7891988132134214,94.5
O694204010,정우이중탕산(단미엑스혼합제)-7.23g,5,70.0,0.609362685123064,82.5
O694204040,정우팔물탕(단미엑스산혼합제)-10.77g,47,90.0,0.9361562542690812,90.8
O694204040,정우팔물탕산(단미엑스혼합제)-10.77g,9,84.0,0.7373849397414085,88.7
O694204070,정우삼소음(단미엑스산혼합제)-10.08 g,57,84.0,0.9467605950938577,85.0
O694204080,정우보중익기탕산(단미엑스산혼합제)-6.18g,41,120.0,0.9274907203590728,118.7
O694204080,정우보중익기탕산(단미엑스혼합제)-6.18g,17,19.0,0.841363653406724,32.2
O694204090,정우소시호탕(단미엑스산혼합제)-8.76g,6,138.0,0.6517988434649009,125.5
O694204170,정우오적산(단미엑스산혼합제)-13.05 g,94,60.0,0.9670255199753904,61.4
O694204170,정우오적산산(단미엑스혼합제)-13.05g,11,154.0,0.7743591917034056,142.3
O694204180,정우구미강활탕(단미엑스산혼합제)-12.03 g,46,70.0,0.9348587567742591,72.1
O694204180,정우구미강활탕산(단미엑스혼합제)-12.03g,9,83.0,0.7373849397414085,88.0
O694204190,정우소청룡탕(단미엑스산혼합제)-8.01 g,59,81.0,0.948472327374514,82.1
O694204190,정우소청룡탕산(단미엑스혼합제)-8.01g,17,118.0,0.841363653406724,115.5
O694204210,정우황련해독탕(단미엑스산혼합제)-5.61 g,6,233.5,0.6517988434649009,187.7
O694204390,정우반하사심탕연조엑스(단미엑스혼합제)-30g,27,120.0,0.8938830384045754,118.1
O694204410,정우황련해독탕정(단미엑스혼합제)-6정,25,22.0,0.8863584253658293,31.1
O694204980,정우반하후박탕정(단미엑스혼합제)-6정,8,86.5,0.713948244582345,90.9
O694204990,정우불환금정기산연조엑스(단미엑스혼합제)-27g,10,133.5,0.757272044090506,125.9
O694205000,정우소시호탕연조엑스(단미엑스혼합제)-27g,5,190.0,0.609362685123064,155.6
O694205030,정우소청룡탕연조엑스(단미엑스혼합제)-30.00g,40,121.5,0.9258124704761524,120.1
O694205030,정우소청룡탕연조엑스(단미엑스혼합제)-30.00g (=10g*3포),5,183.0,0.609362685123064,151.4
O694205030,정우소청룡탕연조엑스(단미엑스혼합제)-30g,8,86.5,0.713948244582345,90.9
O694205040,정우자음강화탕연조엑스(단미엑스혼합제)-30.00g,32,59.5,0.9089542037691648,63.4
O694205040,정우자음강화탕연조엑스(단미엑스혼합제)-30g,16,127.5,0.8331036212313633,123.2
O694205050,정우향사평위산정(단미엑스혼합제)-15정,7,158.0,0.6859185028929208,140.4
O694205060,정우연교패독산연조엑스(단미엑스혼합제)-30.00 g,11,165.0,0.7743591917034056,150.8
O694205070,정우오적산연조엑스(단미엑스혼합제)-36.00g,84,48.0,0.963244272472834,50.0
O694205070,정우오적산연조엑스(단미엑스혼합제)-36g,7,83.0,0.6859185028929208,89.0
O694205160,정우구미강활탕연조엑스(단미엑스혼합제)-30.00g,22,33.0,0.8728325080109757,41.8
O694205160,정우구미강활탕연조엑스(단미엑스혼합제)-30g,7,72.0,0.6859185028929208,81.4
O694205240,정우평위산연조엑스(단미엑스혼합제)-30g,10,151.5,0.757272044090506,139.5
O694205250,정우삼소음연조엑스(단미엑스혼합제)-30g,21,126.0,0.8675788022781872,122.8
O694205260,정우보중익기탕연조엑스(단미엑스혼합제)-30g,46,66.5,0.9348587567742591,68.8
O694205500,정우형개연교탕연조엑스(단미엑스혼합제)-30.00 g,9,85.0,0.7373849397414085,89.5
O694205500,정우형개연교탕연조엑스(단미엑스혼합제)-30g,5,144.0,0.609362685123064,127.6
O694205750,정우팔물탕연조엑스(단미엑스혼합제)-30.00 g,11,150.0,0.7743591917034056,139.2
O694205750,정우팔물탕연조엑스(단미엑스혼합제)-30g,8,62.5,0.713948244582345,73.8
O694205820,정우향사평위산연조엑스(단미엑스혼합제)-30.00 g,31,155.0,0.9062924580124634,150.0
O694205970,정우행소탕(혼합단미엑스산)-7.44g,12,81.5,0.7891988132134214,85.8
O694206210,정우갈근탕연조엑스(단미엑스혼합제)-30g,15,124.0,0.8239361571668503,120.1
OMD0300012,쌍화탕(액),10,137.0,0.757272044090506,128.5
OMD0300026,작약감초탕,11,133.0,0.7743591917034056,126.0
OMD0300035,소경활혈탕,10,64.0,0.757272044090506,73.2
OMD0400002,대한디클로페낙주(비급여),8,88.0,0.713948244582345,92.0
OOM0100001,가미귀비탕,6,158.5,0.6517988434649009,138.8
OOM0100051,작약감초탕,33,48.0,0.9114689132523988,52.8
OOM0100091,(향사육군자탕),7,62.0,0.6859185028929208,74.6
OOM0100095,한방파스,30,82.5,0.903470391690336,84.4
OOM0300065,형방패독산,9,58.0,0.7373849397414085,69.6
OOM0300066,청폐탕,5,76.0,0.609362685123064,86.2
OOM0300074,천왕보심단,12,63.5,0.7891988132134214,71.6
OOM0300118,마자인환,9,95.0,0.7373849397414085,96.8
OOM0300119,맥문동탕,16,54.0,0.8331036212313633,62.0
OOM0300125,쌍화탕,16,92.0,0.8331036212313633,93.7
OOM0300130,열다한소탕,5,131.0,0.609362685123064,119.7
OOM0300141,팔미지황환,10,97.5,0.757272044090506,98.6
OOM0300142,형방사백산,6,78.5,0.6517988434649009,86.7
OOM0300147,곽향정기산,5,85.0,0.609362685123064,91.6
OOM0300156,갈근탕가천궁신이,6,159.5,0.6517988434649009,139.5
OOM0300291,가미귀비탕,20,57.0,0.8618722942040995,63.2
OOM0300293,육미지황탕엑스과립,6,106.5,0.6517988434649009,104.9
OOM0300296,한방파스,72,89.0,0.9573794096857459,89.6
OOM0300311,경옥고(한옥고),9,133.0,0.7373849397414085,124.9
OOM0300399,작약감초탕,30,62.5,0.903470391690336,66.3
OOM0300569,당귀수산,8,82.5,0.713948244582345,88.1
OOM0300624,천왕보심단,8,112.0,0.713948244582345,109.1
OOM0300637,천지인환,12,71.0,0.7891988132134214,77.5
OOM0300755,중화진통고(함소아제약),7,85.0,0.6859185028929208,90.3
OOM0300755,활혈진통고(함소아제약),5,204.0,0.609362685123064,164.2
OOM0300762,자연한방고(경방신약),6,195.5,0.6517988434649009,162.9
OOM0300847,진경안신,5,81.0,0.609362685123064,89.2
OOM0300854,해스킨엑스과립(십미패독탕),16,25.5,0.8331036212313633,38.3
OOM0300889,대활환(소경활혈탕)(경방신약주식회사),45,34.0,0.9335074271217441,38.5
OOM0300917,경방 알파엑스과립,10,88.0,0.757272044090506,91.4
OOM0300917,경방 알파엑스과립(작약감초탕),5,119.0,0.609362685123064,112.4
OOM0300919,경방 용천환,6,183.0,0.6517988434649009,154.8
OOM0300919,경방용천환(천왕보심단),7,26.0,0.6859185028929208,49.9
OOM0300921,경방팔미지황환엑스과립(경방신약),18,27.5,0.8488446318075722,38.8
OOM0300927,한방파프수 에스 카타플라스마(제일약품),7,261.0,0.6859185028929208,211.1
OOM0300946,한풍 제통고 카타플라스마,11,39.0,0.7743591917034056,53.2
OOM0300962,맥그론과립(한풍제약),6,132.5,0.6517988434649009,121.9
OOM0300989,(비급여)한방수카타플라스마(녹십자)-1매,7,117.0,0.6859185028929208,112.3
OOM0301011,(비급여)플레인엑스과립(경방신약),11,42.0,0.7743591917034056,55.5
OOM0301012,(비급여)자리투엑스과립(경방신약),16,200.0,0.8331036212313633,183.6
OOM0301016,(비급여)신텍스쌍화탕액(한국신텍스제약(주)),12,175.0,0.7891988132134214,159.6
OOM0301035,(비급여) 평심액(천왕보심단),7,81.0,0.6859185028929208,87.6
OOM0301043,금왕심단(한솔신약),8,76.0,0.713948244582345,83.4
OOM0301044,팔선환(팔미지황환)(한솔제약),5,192.0,0.609362685123064,156.8
OOM0301045,보화경옥고(원광제약),19,89.0,0.8556518088714926,90.9
OOM0400075,(비급여) 약침(황련해독)2mg,6,55.0,0.6517988434649009,71.4
OOM0400076,(비급여)약침(중성어혈)2mg,14,35.0,0.8137030369094728,47.5
OOM0400077,(비급여)약침(척추신처방)2mg,14,35.0,0.8137030369094728,47.5
OOM0400078,(비급여)약침(근이완)2mg,8,31.5,0.713948244582345,51.7
OOM0400080,(비급여)약침(자하거),7,28.0,0.6859185028929208,51.2
OOM0400083,(비급여)약침(리뉴),8,35.0,0.713948244582345,54.2
USE0000001,(방문)혈당스틱,8,71.5,0.713948244582345,80.2
USE0000001,1회용 주사기,5,151.0,0.609362685123064,131.9
USE0000001,1회용알콜스왑(100ea),7,3.0,0.6859185028929208,34.1
USE0000001,2*2거즈,5,167.0,0.609362685123064,141.6
USE0000001,3 케펜텍,7,80.0,0.6859185028929208,86.9
USE0000001,3cc주사기,19,171.0,0.8556518088714926,161.0
USE0000001,HbA1c Afinion Reagent 15T,15,39.0,0.8239361571668503,50.1
USE0000001,고지혈스틱,6,95.0,0.6517988434649009,97.4
